Formation,Position_Code,Position_PL,Position_PL_Abbr,X,Y,Pitch_XY_Notes
4-2-3-1,GK,Bramkarz,BR,5,50,"Układ 0-100; 0 = własna bramka (oś X), 100 = bramka rywala; oś Y: 0 = lewa strona, 100 = prawa (z perspektywy atakującej drużyny)."
4-2-3-1,RB,Prawy obrońca,PO,20,85,"Układ 0-100; 0 = własna bramka (oś X), 100 = bramka rywala; oś Y: 0 = lewa strona, 100 = prawa (z perspektywy atakującej drużyny)."
4-2-3-1,RCB,Prawy środkowy obrońca,PŚO,25,65,"Układ 0-100; 0 = własna bramka (oś X), 100 = bramka rywala; oś Y: 0 = lewa strona, 100 = prawa (z perspektywy atakującej drużyny)."
4-2-3-1,LCB,Lewy środkowy obrońca,LŚO,25,35,"Układ 0-100; 0 = własna bramka (oś X), 100 = bramka rywala; oś Y: 0 = lewa strona, 100 = prawa (z perspektywy atakującej drużyny)."
4-2-3-1,LB,Lewy obrońca,LO,20,15,"Układ 0-100; 0 = własna bramka (oś X), 100 = bramka rywala; oś Y: 0 = lewa strona, 100 = prawa (z perspektywy atakującej drużyny)."
4-2-3-1,RDM,Prawy defensywny pomocnik,PDP,40,60,"Układ 0-100; 0 = własna bramka (oś X), 100 = bramka rywala; oś Y: 0 = lewa strona, 100 = prawa (z perspektywy atakującej drużyny)."
4-2-3-1,LDM,Lewy defensywny pomocnik,LDP,40,40,"Układ 0-100; 0 = własna bramka (oś X), 100 = bramka rywala; oś Y: 0 = lewa strona, 100 = prawa (z perspektywy atakującej drużyny)."
4-2-3-1,RW,Prawy skrzydłowy,PS,65,85,"Układ 0-100; 0 = własna bramka (oś X), 100 = bramka rywala; oś Y: 0 = lewa strona, 100 = prawa (z perspektywy atakującej drużyny)."
4-2-3-1,CAM,Środkowy ofensywny pomocnik,ŚOP,60,50,"Układ 0-100; 0 = własna bramka (oś X), 100 = bramka rywala; oś Y: 0 = lewa strona, 100 = prawa (z perspektywy atakującej drużyny)."
4-2-3-1,LW,Lewy skrzydłowy,LS,65,15,"Układ 0-100; 0 = własna bramka (oś X), 100 = bramka rywala; oś Y: 0 = lewa strona, 100 = prawa (z perspektywy atakującej drużyny)."
4-2-3-1,ST,Środkowy napastnik,ŚN,80,50,"Układ 0-100; 0 = własna bramka (oś X), 100 = bramka rywala; oś Y: 0 = lewa strona, 100 = prawa (z perspektywy atakującej drużyny)."
4-3-3,GK,Bramkarz,BR,5,50,"Układ 0-100; 0 = własna bramka (oś X), 100 = bramka rywala; oś Y: 0 = lewa strona, 100 = prawa (z perspektywy atakującej drużyny)."
4-3-3,RB,Prawy obrońca,PO,20,85,"Układ 0-100; 0 = własna bramka (oś X), 100 = bramka rywala; oś Y: 0 = lewa strona, 100 = prawa (z perspektywy atakującej drużyny)."
4-3-3,RCB,Prawy środkowy obrońca,PŚO,25,65,"Układ 0-100; 0 = własna bramka (oś X), 100 = bramka rywala; oś Y: 0 = lewa strona, 100 = prawa (z perspektywy atakującej drużyny)."
4-3-3,LCB,Lewy środkowy obrońca,LŚO,25,35,"Układ 0-100; 0 = własna bramka (oś X), 100 = bramka rywala; oś Y: 0 = lewa strona, 100 = prawa (z perspektywy atakującej drużyny)."
4-3-3,LB,Lewy obrońca,LO,20,15,"Układ 0-100; 0 = własna bramka (oś X), 100 = bramka rywala; oś Y: 0 = lewa strona, 100 = prawa (z perspektywy atakującej drużyny)."
4-3-3,DM,Defensywny pomocnik,DP,40,50,"Układ 0-100; 0 = własna bramka (oś X), 100 = bramka rywala; oś Y: 0 = lewa strona, 100 = prawa (z perspektywy atakującej drużyny)."
4-3-3,RCM,Prawy środkowy pomocnik,PŚP,50,65,"Układ 0-100; 0 = własna bramka (oś X), 100 = bramka rywala; oś Y: 0 = lewa strona, 100 = prawa (z perspektywy atakującej drużyny)."
4-3-3,LCM,Lewy środkowy pomocnik,LŚP,50,35,"Układ 0-100; 0 = własna bramka (oś X), 100 = bramka rywala; oś Y: 0 = lewa strona, 100 = prawa (z perspektywy atakującej drużyny)."
4-3-3,RW,Prawy skrzydłowy,PS,70,85,"Układ 0-100; 0 = własna bramka (oś X), 100 = bramka rywala; oś Y: 0 = lewa strona, 100 = prawa (z perspektywy atakującej drużyny)."
4-3-3,ST,Środkowy napastnik,ŚN,80,50,"Układ 0-100; 0 = własna bramka (oś X), 100 = bramka rywala; oś Y: 0 = lewa strona, 100 = prawa (z perspektywy atakującej drużyny)."
4-3-3,LW,Lewy skrzydłowy,LS,70,15,"Układ 0-100; 0 = własna bramka (oś X), 100 = bramka rywala; oś Y: 0 = lewa strona, 100 = prawa (z perspektywy atakującej drużyny)."
